id;imie;nazwisko;dataUrodzenia;login;haslo
0;Agnieszka;PACZOS;01.10.1983;haslo240;
1;Mirella;B¥K;01.12.1997;haslo701;
2;Agnieszka;M¥CZKA;01.02.1992;haslo192;
3;Teresa;KOWALSKA;01.02.1992;haslo123;
4;Leon;JAWORSKA;01.04.1976;haslo184;
5;Martyna;SOKO£OWSKA;01.04.1991;haslo105;
6;Ariana;SAWICKA;01.02.1972;haslo526;
7;Piotr;SAWICKA;01.10.1973;haslo567;
8;Antoni;PAWLUK;01.10.1973;haslo188;
9;Dominika;NOWAK;01.07.1972;haslo479;
10;¯aneta;RUTKOWSKA;01.12.1972;haslo1710;
11;Szymon;KRAWCZYK;01.01.1995;haslo3911;
12;Stanis³aw;SIKORA;01.09.1986;haslo3612;
13;Krzysztof;WOJCIECHOWSKA;01.04.1996;haslo4113;
14;Lilianna;M¥CZKA;01.09.1991;haslo2114;
15;Maciej;PAW£OWSKA;01.01.1995;haslo4415;
16;Jagoda;PIOTROWSKA;01.02.1972;haslo4316;
17;Gracjan;MACIEJEWSKA;01.01.1980;haslo2117;
18;Sylwia;BORKOWSKA;01.01.1970;haslo4818;
19;Lucyna;LIS;01.07.1987;haslo6819;
20;Helena;JANKOWSKA;01.06.1990;haslo5520;
21;Andrzej;KALINOWSKA;01.02.1982;haslo5621;
22;Jagna;LEWANDOWSKA;01.09.1981;haslo6522;
23;Maciej;MAZUR;01.09.1991;haslo3223;
24;Szymon;ZALEWSKA;01.05.1998;haslo1224;
25;Maria;OSTROWSKA;01.02.1972;haslo5125;
26;Dorota;PACZOS;01.04.1991;haslo2926;
27;Stanis³aw;CZARNECKA;01.02.1987;haslo4027;
28;Natan;SADOWSKA;01.01.1980;haslo1828;
29;Bogumi³a;MICHALSKA;01.04.1986;haslo2529;
30;Jagna;WÓJCIK;01.06.1970;haslo2830;
31;Aneta;NOWAK;01.06.1970;haslo3931;
32;Izabela;BARAN;01.05.1988;haslo5432;
33;Gracjan;KOWALCZYK;01.06.1975;haslo3733;
34;Julian;WRÓBLEWSKA;01.08.1994;haslo534;
35;Zofia;SZEWCZYK;01.04.1971;haslo4935;
36;Odetta;MICHALAK;01.07.1987;haslo2636;
37;Józef;OLSZEWSKA;01.08.1979;haslo6337;
38;Kamila;KALINOWSKA;01.06.1995;haslo438;
39;Joanna;OLSZEWSKA;01.03.1984;haslo6339;
40;Irena;M¥CZKA;01.05.1993;haslo140;
41;Marzena;ADAMCZYK;01.04.1976;haslo4341;
42;Teresa;WIECZOREK;01.11.1990;haslo2542;
43;Magdalena;KOWALCZYK;01.12.1997;haslo6543;
44;Pamela;ADAMCZYK;01.04.1971;haslo1444;
45;Lucyna;KACZMAREK;01.02.1997;haslo5645;
46;Zbigniew;MACIEJEWSKA;01.09.1996;haslo3646;
47;Krzysztof;NOWICKA;01.07.1997;haslo4047;
48;Zofia;LIS;01.02.1987;haslo1348;
49;Jan;CZARNECKA;01.03.1994;haslo4349;
50;S³awomir;KOWALCZYK;01.11.1970;haslo1250;
51;Helena;KALINOWSKA;01.03.1984;haslo4551;
52;Aneta;MICHALSKA;01.05.1998;haslo3452;
53;Leon;DUDEK;01.05.1978;haslo6653;
54;Katarzyna;NOWICKA;01.07.1972;haslo2454;
55;Szymon;MALINOWSKA;01.08.1979;haslo5755;
56;Maria;PIETRZAK;01.06.1995;haslo4656;
57;Magdalena;DUDA;01.09.1976;haslo4257;
58;Jan;CHMIELEWSKA;01.09.1981;haslo858;
59;Arkadiusz;PIOTROWSKA;01.05.1993;haslo1959;
60;Lilianna;SAWICKA;01.03.1994;haslo1460;
61;Nikola;NOWAK;01.07.1982;haslo5361;
62;Leon;ADAMCZYK;01.08.1994;haslo3562;
63;Magdalena;BORKOWSKA;01.09.1996;haslo1363;
64;Nikola;W£ODARCZYK;01.06.1980;haslo2664;
65;Andrzej;SIKORA;01.05.1983;haslo6865;
66;Antonina;WYSOCKA;01.07.1977;haslo2966;
67;Piotr;MALINOWSKA;01.11.1985;haslo5267;
68;Izabela;CHMIELEWSKA;01.06.1970;haslo2268;
69;Martyna;SADOWSKA;01.01.1975;haslo7069;
70;Aleksander;MAZUR;01.09.1981;haslo1470;
71;Józef;KALINOWSKA;01.12.1972;haslo3171;
72;Adrianna;NOWAK;01.02.1972;haslo1872;
73;Katarzyna;KORYTKOWSKI;01.05.1988;haslo1273;
74;Helena;MAZUR;01.11.1975;haslo6574;
75;Maksymilian;WOJCIECHOWSKA;01.09.1971;haslo775;
76;Julia;BA£KA;01.03.1989;haslo1576;
77;S³awomir;JASIÑSKA;01.01.1995;haslo4277;
78;Antonina;MICHALSKA;01.06.1990;haslo478;
79;Krystyna;DUDA;01.12.1992;haslo1279;
80;Arkadiusz;WILK;01.07.1982;haslo4680;
81;Antoni;ADAMCZYK;01.08.1974;haslo3481;
82;Albin;BARAN;01.02.1997;haslo2782;
83;Antoni;OSTROWSKA;01.07.1997;haslo4783;
84;Julia;DUDA;01.03.1979;haslo6884;
85;Dominika;JANKOWSKA;01.04.1996;haslo5285;
86;Petronella;WALCZAK;01.09.1986;haslo6986;
87;Magdalena;WYSOCKA;01.03.1979;haslo2587;
88;Izabela;SIKORA;01.09.1991;haslo4988;
89;Dominika;CZARNECKA;01.09.1981;haslo389;
