id;imie;nazwisko;dataUrodzenia;zawod
0;Ariana;ADAMCZYK;01.06.1985;aktor
1;Krystyna;OSTROWSKA;01.07.1992;aktor
2;Arleta;PIETRZAK;01.08.1979;aktor
3;Izabela;MICHALAK;01.07.1977;aktor
4;Józef;B¥K;01.02.1987;aktor
5;Maciej;MAZUR;01.09.1996;aktor
6;Anna;PAW£OWSKA;01.06.1980;aktor
7;Maciej;PAPIERZEWSKI;01.05.1983;aktor
8;Zofia;NOWAKOWSKA;01.04.1986;aktor
9;Krzysztof;WOJCIECHOWSKA;01.10.1983;aktor
10;Piotr;PIETRZAK;01.01.1985;aktor
11;Martyna;PIOTROWSKA;01.04.1971;aktor
12;Odetta;SZEKPSIR;01.08.1994;aktor
13;Pawe³;SZEKPSIR;01.10.1983;aktor
14;Julian;GRABOWSKA;01.06.1970;aktor
15;Mirella;KACZMAREK;01.08.1989;aktor
16;Lucyna;KWIATKOWSKA;01.06.1990;aktor
17;S³awomir;WITKOWSKA;01.07.1987;aktor
18;Wojciech;JASIÑSKA;01.11.1975;aktor
19;Magdalena;PIOTROWSKA;01.12.1982;aktor
20;Maciej;MAKOWSKA;01.11.1975;aktor
21;Krystyna;SOKO£OWSKA;01.11.1975;aktor
22;Antoni;JAWORSKA;01.04.1986;aktor
23;Bogumi³a;MAKOWSKA;01.10.1998;aktor
24;Anna;KOWALSKA;01.05.1998;aktor
25;Helena;KAMIÑSKA;01.12.1997;aktor
26;Gracjan;JAWORSKA;01.04.1986;aktor
27;Gracjan;KOWALCZYK;01.11.1980;aktor
28;Marika;PAWLAK;01.04.1981;aktor
29;Adrianna;ZAWADZKA;01.05.1993;aktor
30;Maciej;PIOTROWSKA;01.02.1992;aktor
31;Zuzanna;GRABOWSKA;01.10.1993;aktor
32;Izabela;MAKOWSKA;01.02.1982;aktor
33;Mirella;PAWLAK;01.10.1983;aktor
34;Teresa;BARAN;01.07.1987;aktor
35;Julian;WOJCIECHOWSKA;01.09.1996;aktor
36;Dominika;MICHALSKA;01.02.1992;aktor
37;Aneta;PAW£OWSKA;01.07.1997;aktor
38;Lucyna;WYSOCKA;01.09.1981;aktor
39;Bo¿ena;SZEWCZYK;01.09.1976;aktor
40;Adrianna;PAWLAK;01.11.1985;aktor
41;Izabela;M¥CZKA;01.08.1989;aktor
42;Lilianna;NOWICKA;01.01.1980;aktor
43;Zbigniew;MAZUR;01.02.1982;aktor
44;S³awomir;MARCINIAK;01.01.1970;aktor
45;Izabela;ZALEWSKA;01.03.1989;aktor
46;Piotr;ZAWADZKA;01.12.1987;aktor
47;Nikola;W£ODARCZYK;01.05.1978;aktor
48;Marzena;KRAWCZYK;01.07.1977;aktor
49;Zofia;PAWLUK;01.01.1985;aktor
50;Maciej;ZAWADZKA;01.01.1995;aktor
51;Ariana;KAMIÑSKA;01.07.1997;aktor
52;Wincenty;DUDEK;01.12.1972;aktor
53;Jadwiga;NOWICKA;01.05.1973;aktor
54;Teresa;TOMASZEWSKA;01.09.1996;aktor
55;Magdalena;BA£KA;01.06.1985;aktor
56;Katarzyna;WÓJCIK;01.03.1989;aktor
57;Izabela;KUCHARSKA;01.07.1997;aktor
58;Marika;WIECZOREK;01.07.1997;aktor
59;Marzena;W£ODARCZYK;01.09.1971;aktor
60;Marika;M¥CZKA;01.10.1998;aktor
61;Andrzej;PAWLAK;01.06.1990;aktor
62;Gracjan;DUDEK;01.04.1991;aktor
63;Jadwiga;CHMIELEWSKA;01.02.1997;aktor
64;Petronella;PACZOS;01.09.1981;aktor
65;Petronella;NOWAK;01.03.1979;aktor
66;Aleksander;KOWALCZYK;01.06.1995;aktor
67;Józef;SZEKPSIR;01.09.1971;aktor
68;Helena;MARCINIAK;01.06.1980;aktor
69;Maciej;PAWLUK;01.02.1972;aktor
70;Mirella;KAMIÑSKA;01.02.1982;aktor
71;Joanna;WRÓBLEWSKA;01.06.1975;aktor
72;Adrianna;OSTROWSKA;01.09.1996;aktor
73;Jadwiga;MALINOWSKA;01.02.1987;aktor
74;Jagna;MARCINIAK;01.03.1984;aktor
75;Dominika;MICHALAK;01.05.1988;aktor
76;Zofia;KORYTKOWSKI;01.08.1974;aktor
77;Józef;SZCZEPAÑSKA;01.05.1993;aktor
78;Petronella;SZEKPSIR;01.07.1977;aktor
79;Lucyna;KACZMAREK;01.12.1997;aktor
80;Aneta;GRABOWSKA;01.03.1994;aktor
81;Zuzanna;MARCINIAK;01.11.1975;aktor
82;Jozue;DUDEK;01.06.1995;aktor
83;Pamela;NOWICKA;01.02.1972;aktor
84;Jan;PIETRZAK;01.07.1987;aktor
85;Zuzanna;SAWICKA;01.02.1992;aktor
86;Stanis³aw;SZCZEPAÑSKA;01.04.1971;aktor
87;Pamela;SAWICKA;01.08.1984;aktor
88;Teresa;KORYTKOWSKI;01.02.1972;aktor
89;Piotr;MAKOWSKA;01.03.1994;aktor
90;Albin;KAMIÑSKA;01.06.1970;aktor
91;Adrianna;NOWAK;01.02.1972;aktor
92;Marcin;KUBIAK;01.10.1983;aktor
93;Krystyna;SADOWSKA;01.10.1973;aktor
94;Odetta;CHMIELEWSKA;01.05.1973;aktor
95;Maksymilian;PAWLUK;01.05.1978;aktor
96;Andrzej;MACIEJEWSKA;01.12.1977;aktor
97;Marika;PAWLUK;01.08.1974;aktor
98;Julia;NOWAK;01.01.1975;aktor
99;Marika;DUDEK;01.11.1990;aktor
100;Pamela;JAWORSKA;01.11.1985;aktor
101;Maksymilian;MAZUR;01.09.1976;aktor
102;Kamila;MALINOWSKA;01.09.1981;aktor
103;Marzena;BA£KA;01.11.1980;aktor
104;Albin;SZCZEPAÑSKA;01.05.1978;aktor
105;Odetta;MICHALSKA;01.04.1981;aktor
106;Julia;NOWICKA;01.07.1982;aktor
107;Antonina;MARCINIAK;01.07.1977;aktor
108;Franciszek;PACZOS;01.05.1998;aktor
109;Wojciech;ADAMCZYK;01.06.1970;aktor
110;Jan;CZARNECKA;01.02.1982;aktor
111;Józef;B¥K;01.09.1996;aktor
112;Wioleta;PAW£OWSKA;01.09.1971;aktor
113;Wiliam;W£ODARCZYK;01.02.1992;aktor
114;Marzena;JASIÑSKA;01.02.1977;aktor
115;Bogumi³a;RUTKOWSKA;01.06.1990;aktor
116;Albin;PAPIERZEWSKI;01.03.1994;aktor
117;Bogumi³a;PAPIERZEWSKI;01.01.1995;aktor
118;Nikola;DUDEK;01.10.1998;aktor
119;Gracjan;KUCHARSKA;01.07.1997;aktor
120;Andrzej;LEWANDOWSKA;01.01.1985;aktor
121;Aleksander;ZALEWSKA;01.11.1990;aktor
122;Zuzanna;MICHALSKA;01.05.1973;aktor
123;Irena;WÓJCIK;01.02.1982;aktor
124;Dominika;LEWANDOWSKA;01.07.1987;aktor
125;Dorota;NOWAK;01.01.1995;aktor
126;Dominika;LEWANDOWSKA;01.04.1976;aktor
127;Julian;PAPIERZEWSKI;01.11.1990;aktor
128;Dominika;SZEWCZYK;01.11.1970;aktor
129;Krystyna;KWIATKOWSKA;01.11.1970;aktor
130;Petronella;MAKOWSKA;01.10.1978;aktor
131;Wioleta;NOWICKA;01.09.1971;aktor
132;Arkadiusz;SOKO£OWSKA;01.05.1973;aktor
133;Wojciech;M¥CZKA;01.01.1995;aktor
134;Leon;PAWLUK;01.10.1993;aktor
135;Magdalena;GRABOWSKA;01.09.1971;aktor
136;Józef;PAWLUK;01.07.1997;aktor
137;Krystyna;KORYTKOWSKI;01.12.1977;aktor
138;Jacek;JAKUBOWSKA;01.05.1993;aktor
139;Leon;MARCINIAK;01.05.1983;aktor
140;Aleksander;JANKOWSKA;01.01.1995;aktor
141;Jozue;MACIEJEWSKA;01.05.1978;aktor
142;Antoni;JAWORSKA;01.09.1986;aktor
143;Aneta;JAKUBOWSKA;01.01.1980;aktor
144;Irena;PIOTROWSKA;01.01.1985;aktor
145;Marika;KWIATKOWSKA;01.01.1970;aktor
146;Ariana;ZALEWSKA;01.04.1981;aktor
147;Antonina;JAWORSKA;01.04.1986;aktor
148;Marcin;KOWALSKA;01.07.1972;aktor
149;Bernadetta;WOJCIECHOWSKA;01.09.1991;aktor
150;Andrzej;JAKUBOWSKA;01.08.1984;aktor
151;Antonina;DUDEK;01.02.1982;aktor
152;Marcin;B¥K;01.01.1995;aktor
153;Nikola;PAWLAK;01.10.1973;aktor
154;Natan;SADOWSKA;01.01.1990;aktor
155;Wiliam;WILK;01.12.1987;aktor
156;Pamela;BA£KA;01.06.1990;aktor
157;Irena;KALINOWSKA;01.07.1972;aktor
158;Zuzanna;PAWLUK;01.10.1993;aktor
159;Ariana;KUCHARSKA;01.06.1975;aktor
160;Wojciech;WOJCIECHOWSKA;01.04.1981;aktor
161;Maria;WRÓBLEWSKA;01.12.1997;aktor
162;Maksymilian;SOKO£OWSKA;01.09.1981;aktor
163;Antoni;MAJEWSKA;01.04.1971;aktor
164;Bernadetta;WRÓBLEWSKA;01.03.1989;aktor
165;Martyna;BARAN;01.12.1987;aktor
166;Jagoda;PAPIERZEWSKI;01.01.1975;aktor
167;S³awomir;RUTKOWSKA;01.08.1974;aktor
168;Antoni;SOKO£OWSKA;01.11.1980;aktor
169;Irena;ZALEWSKA;01.11.1985;aktor
170;Jozue;MAJEWSKA;01.09.1976;aktor
171;Lilianna;OLSZEWSKA;01.11.1970;aktor
172;Bernadetta;SZCZEPAÑSKA;01.02.1997;aktor
173;Anna;MAZUR;01.02.1997;aktor
174;Krzysztof;SADOWSKA;01.07.1982;aktor
175;Gracjan;KOWALSKA;01.12.1982;aktor
176;Irena;OLSZEWSKA;01.12.1992;aktor
177;Antoni;LEWANDOWSKA;01.01.1985;aktor
178;Hanna;DUDEK;01.05.1978;aktor
179;Helena;KWIATKOWSKA;01.06.1980;aktor
180;Hanna;OLSZEWSKA;01.12.1972;aktor
181;Agnieszka;PAWLUK;01.11.1975;aktor
182;Zofia;WOJCIECHOWSKA;01.08.1984;aktor
183;Lucyna;CZARNECKA;01.12.1997;aktor
184;Ariana;JANKOWSKA;01.07.1977;aktor
185;Odetta;MACIEJEWSKA;01.06.1985;aktor
186;Marzena;JASIÑSKA;01.07.1977;aktor
187;Lucyna;SOKO£OWSKA;01.07.1982;aktor
188;Wojciech;CZARNECKA;01.10.1993;aktor
189;Jan;OLSZEWSKA;01.07.1982;aktor
190;Arleta;WYSOCKA;01.06.1980;aktor
191;Lilianna;NOWAK;01.02.1982;aktor
192;Dominika;LEWANDOWSKA;01.10.1988;aktor
193;Zbigniew;MAZUR;01.04.1986;aktor
194;Aleksander;ZAWADZKA;01.09.1991;aktor
195;Marzena;KORYTKOWSKI;01.02.1992;aktor
196;Teresa;KAMIÑSKA;01.02.1972;aktor
197;Odetta;LEWANDOWSKA;01.11.1970;aktor
198;Zbigniew;MICHALAK;01.05.1983;aktor
199;Helena;W£ODARCZYK;01.06.1975;aktor
200;Antoni;WALCZAK;01.05.1978;aktor
201;Natan;WOJCIECHOWSKA;01.06.1975;aktor
202;Lucyna;KOWALCZYK;01.04.1981;aktor
203;Joanna;SOKO£OWSKA;01.04.1981;aktor
204;Magdalena;B¥K;01.07.1982;aktor
205;Andrzej;NOWAK;01.02.1997;aktor
206;Jagoda;PAPIERZEWSKI;01.10.1988;aktor
207;Izabela;NOWAK;01.09.1976;aktor
208;Franciszek;DUDA;01.02.1992;aktor
209;Antonina;SZCZEPAÑSKA;01.07.1977;aktor
210;Marika;KRAWCZYK;01.10.1993;aktor
211;Sylwia;JAKUBOWSKA;01.02.1972;aktor
212;Zbigniew;WOJCIECHOWSKA;01.01.1990;aktor
213;Hanna;M¥CZKA;01.09.1986;aktor
214;Jagoda;SOKO£OWSKA;01.04.1971;aktor
215;Zofia;MARCINIAK;01.10.1983;aktor
216;Franciszek;LIS;01.06.1995;aktor
217;Julia;WOJCIECHOWSKA;01.10.1978;aktor
218;Agnieszka;LEWANDOWSKA;01.02.1982;aktor
219;Pamela;NOWICKA;01.03.1974;aktor
220;Helena;JASIÑSKA;01.07.1992;aktor
221;Martyna;LIS;01.11.1970;aktor
222;Lilianna;TOMASZEWSKA;01.11.1975;aktor
223;Jadwiga;MARCINIAK;01.06.1995;aktor
224;Kamila;LEWANDOWSKA;01.04.1996;aktor
225;Andrzej;OSTROWSKA;01.06.1980;aktor
226;Lucyna;JAWORSKA;01.09.1991;aktor
227;Piotr;ZAWADZKA;01.09.1996;aktor
228;Piotr;SOKO£OWSKA;01.01.1990;aktor
229;Bernadetta;WIECZOREK;01.12.1982;aktor
230;Adrianna;DUDA;01.06.1995;aktor
231;Odetta;KWIATKOWSKA;01.02.1997;aktor
232;Arkadiusz;PAPIERZEWSKI;01.06.1995;aktor
233;Jacek;WALCZAK;01.12.1982;aktor
234;Natan;W£ODARCZYK;01.09.1976;aktor
235;Bernadetta;PAWLUK;01.09.1996;aktor
236;Wioleta;B¥K;01.12.1972;aktor
237;Arleta;MAJEWSKA;01.02.1997;aktor
238;Aleksander;PAPIERZEWSKI;01.05.1983;aktor
239;Kamila;MICHALAK;01.02.1982;aktor
240;Bogumi³a;M¥CZKA;01.08.1984;aktor
241;Lilianna;PAWLUK;01.04.1981;aktor
242;Petronella;MACIEJEWSKA;01.05.1988;aktor
243;Kamila;PAPIERZEWSKI;01.01.1980;aktor
244;Gracjan;WALCZAK;01.05.1998;aktor
245;Anna;B¥K;01.04.1981;aktor
246;Maria;CHMIELEWSKA;01.08.1994;aktor
247;Wioleta;WÓJCIK;01.08.1974;aktor
248;Antonina;DUDEK;01.04.1976;aktor
249;Wojciech;ZALEWSKA;01.08.1974;aktor
