id;imie;nazwisko;dataUrodzenia;zawod
100;Marika;MACIEJEWSKA;01.09.1976;rezyser
101;Adrianna;SZEWCZYK;01.05.1998;rezyser
102;Albin;KORYTKOWSKI;01.05.1998;rezyser
103;Magdalena;DUDEK;01.05.1983;rezyser
104;Antoni;SZCZEPAÑSKA;01.07.1992;rezyser
105;S³awomir;W£ODARCZYK;01.07.1997;rezyser
106;Sylwia;JAWORSKA;01.09.1971;rezyser
107;Dorota;PAPIERZEWSKI;01.11.1975;rezyser
108;Arleta;SZEKPSIR;01.10.1998;rezyser
109;Krzysztof;LIS;01.08.1974;rezyser
110;Irena;KALINOWSKA;01.03.1994;rezyser
111;Marika;DUDA;01.04.1996;rezyser
112;Józef;TOMASZEWSKA;01.01.1975;rezyser
113;Jozue;KAMIÑSKA;01.03.1984;rezyser
114;Marzena;M¥CZKA;01.01.1980;rezyser
115;Jan;WIECZOREK;01.11.1995;rezyser
116;Bo¿ena;WALCZAK;01.11.1980;rezyser
117;Jozue;PAWLUK;01.08.1974;rezyser
118;Maciej;JANKOWSKA;01.09.1976;rezyser
119;Jozue;MAZUR;01.11.1985;rezyser
120;Wioleta;SADOWSKA;01.10.1983;rezyser
121;Ariana;SOKO£OWSKA;01.10.1998;rezyser
122;Wioleta;NOWAK;01.01.1975;rezyser
123;Antoni;KRAWCZYK;01.01.1995;rezyser
124;Józef;KOWALSKA;01.01.1975;rezyser
125;Magdalena;OLSZEWSKA;01.01.1995;rezyser
126;Arkadiusz;RUTKOWSKA;01.01.1985;rezyser
127;Agnieszka;GRABOWSKA;01.11.1980;rezyser
128;Odetta;MARCINIAK;01.11.1980;rezyser
129;Agnieszka;SZEKPSIR;01.03.1994;rezyser
