id;imie;nazwisko;dataUrodzenia;zawod
500;Wincenty;SIKORA;01.10.1983;rezyser
501;Julian;PAWLUK;01.02.1997;rezyser
502;Teresa;CHMIELEWSKA;01.08.1974;rezyser
503;Pawe³;SZEWCZYK;01.05.1983;rezyser
504;Andrzej;PIOTROWSKA;01.09.1996;rezyser
505;Wincenty;LIS;01.02.1992;rezyser
506;Helena;WITKOWSKA;01.03.1994;rezyser
507;Szymon;CHMIELEWSKA;01.05.1973;rezyser
508;Marzena;WITKOWSKA;01.03.1979;rezyser
509;Zofia;CZARNECKA;01.01.1975;rezyser
510;Dorota;PACZOS;01.01.1975;rezyser
511;Krzysztof;MICHALAK;01.11.1995;rezyser
512;Marcjanna;SZEKPSIR;01.02.1992;rezyser
513;Teresa;NOWAKOWSKA;01.02.1987;rezyser
514;Pawe³;BORKOWSKA;01.11.1990;rezyser
515;Andrzej;SZCZEPAÑSKA;01.03.1994;rezyser
516;Adrianna;W£ODARCZYK;01.05.1983;rezyser
517;S³awomir;JASIÑSKA;01.05.1998;rezyser
518;Mirella;WILK;01.02.1972;rezyser
519;Stanis³aw;M¥CZKA;01.11.1985;rezyser
520;Bogumi³a;SAWICKA;01.10.1993;rezyser
521;Teresa;WITKOWSKA;01.08.1989;rezyser
522;Marcjanna;KAMIÑSKA;01.07.1987;rezyser
523;Lilianna;W£ODARCZYK;01.10.1983;rezyser
524;Jagoda;KOWALSKA;01.06.1975;rezyser
525;¯aneta;WIECZOREK;01.09.1971;rezyser
526;Józef;OSTROWSKA;01.11.1990;rezyser
527;Mirella;JAKUBOWSKA;01.10.1973;rezyser
528;Maksymilian;JASIÑSKA;01.09.1996;rezyser
529;Lilianna;WYSOCKA;01.12.1992;rezyser
530;Zbigniew;KOWALSKA;01.02.1997;rezyser
531;Jadwiga;WOJCIECHOWSKA;01.07.1972;rezyser
532;Adrianna;SADOWSKA;01.11.1975;rezyser
533;Mirella;PIETRZAK;01.05.1988;rezyser
534;Lucyna;JASIÑSKA;01.06.1990;rezyser
535;Krystyna;PAWLUK;01.09.1981;rezyser
536;Leon;CHMIELEWSKA;01.04.1971;rezyser
537;Julia;KACZMAREK;01.12.1992;rezyser
538;Zofia;NOWAK;01.11.1990;rezyser
539;Gracjan;WYSOCKA;01.12.1977;rezyser
540;Julia;DUDEK;01.12.1977;rezyser
541;Izabela;MALINOWSKA;01.01.1970;rezyser
542;Antoni;ADAMCZYK;01.08.1974;rezyser
543;Marika;PAWLAK;01.06.1990;rezyser
544;Odetta;LIS;01.11.1975;rezyser
545;Julian;CZARNECKA;01.07.1977;rezyser
546;Gracjan;BORKOWSKA;01.01.1995;rezyser
547;Julia;NOWAK;01.09.1986;rezyser
548;Franciszek;KUBIAK;01.08.1994;rezyser
549;Jadwiga;OSTROWSKA;01.11.1995;rezyser
550;Marika;KALINOWSKA;01.10.1983;rezyser
551;Jozue;LIS;01.09.1976;rezyser
552;Marcin;WRÓBLEWSKA;01.07.1972;rezyser
553;Natan;KALINOWSKA;01.10.1993;rezyser
554;Marika;BA£KA;01.12.1987;rezyser
555;Zbigniew;PAW£OWSKA;01.06.1980;rezyser
556;Aneta;SZCZEPAÑSKA;01.01.1975;rezyser
557;Bogumi³a;SZCZEPAÑSKA;01.01.1995;rezyser
558;Zbigniew;MALINOWSKA;01.03.1994;rezyser
559;Agnieszka;WALCZAK;01.06.1970;rezyser
560;Dominika;KORYTKOWSKI;01.04.1976;rezyser
561;Katarzyna;WYSOCKA;01.12.1972;rezyser
562;Bernadetta;GRABOWSKA;01.08.1979;rezyser
563;Aleksander;NOWICKA;01.02.1972;rezyser
564;Aleksander;ZALEWSKA;01.03.1979;rezyser
565;Julian;SADOWSKA;01.04.1981;rezyser
566;Dorota;MALINOWSKA;01.11.1980;rezyser
567;Antoni;DUDEK;01.09.1986;rezyser
568;Pamela;BARAN;01.07.1997;rezyser
569;Albin;PAW£OWSKA;01.03.1979;rezyser
570;Antonina;NOWICKA;01.06.1985;rezyser
571;Mirella;MAKOWSKA;01.04.1976;rezyser
572;Zofia;DUDA;01.05.1983;rezyser
573;Lucyna;PAPIERZEWSKI;01.06.1975;rezyser
574;Hanna;WILK;01.07.1987;rezyser
575;Antoni;WIECZOREK;01.04.1996;rezyser
576;Albin;WALCZAK;01.02.1997;rezyser
577;Dominika;SIKORA;01.11.1995;rezyser
578;Piotr;CHMIELEWSKA;01.12.1987;rezyser
579;Joanna;NOWICKA;01.06.1980;rezyser
580;Pamela;PAWLUK;01.07.1992;rezyser
581;Jozue;SZEKPSIR;01.02.1992;rezyser
582;Julia;MAZUR;01.03.1984;rezyser
583;Pamela;WRÓBLEWSKA;01.04.1981;rezyser
584;Jan;TOMASZEWSKA;01.07.1987;rezyser
585;Anna;W£ODARCZYK;01.08.1989;rezyser
586;Lilianna;M¥CZKA;01.12.1972;rezyser
587;Antonina;DUDEK;01.10.1993;rezyser
588;Wioleta;TOMASZEWSKA;01.07.1987;rezyser
589;Pamela;KOWALCZYK;01.08.1994;rezyser
590;Dominika;DUDEK;01.12.1997;rezyser
591;Zbigniew;GRABOWSKA;01.08.1974;rezyser
592;Wioleta;DUDEK;01.07.1997;rezyser
593;Wiliam;PAWLUK;01.09.1991;rezyser
594;Pawe³;PAWLAK;01.11.1980;rezyser
595;Izabela;PAWLAK;01.10.1983;rezyser
596;Antonina;LIS;01.12.1987;rezyser
597;Magdalena;KAMIÑSKA;01.06.1980;rezyser
598;Leon;KACZMAREK;01.06.1985;rezyser
599;Arkadiusz;NOWAK;01.06.1990;rezyser
